,Unnamed: 0,gene_id_x,gene_name,gene_type,gene_id_y,entrez_id,chromosome,strand,number_of_transcripts,median_transcriptome_length,median_genome_length,median_number_of_exons,median_gene_start,median_gene_end
841,841,ENSG00000211579,MIR759,miRNA,1023293.0,100313778.0,13,+,1.0,90.0,90.0,1.0,53384185.0,53384275.0
844,844,ENSG00000264763,MIR4295,miRNA,1023726.0,100422909.0,10,+,1.0,84.0,84.0,1.0,114393929.0,114394013.0
845,845,ENSG00000283867,MIR1307,miRNA,1022995.0,100302174.0,10,-,1.0,148.0,148.0,1.0,105154010.0,105154158.0
847,847,ENSG00000207975,MIR181B1,miRNA,128065.0,406955.0,1,-,1.0,109.0,109.0,1.0,198828002.0,198828111.0
901,901,ENSG00000200661,SNORD116-10,snoRNA,1013500.0,100033422.0,15,+,1.0,103.0,103.0,1.0,25319260.0,25319363.0
905,905,ENSG00000275568,ARHGAP11A,protein_coding,9680.0,9824.0,15,+,2.0,4032.0,22434.0,12.0,32907691.0,32930125.0
906,906,ENSG00000198826,ARHGAP11A,protein_coding,9680.0,9824.0,15,+,2.0,4032.0,22434.0,12.0,32907691.0,32930125.0
907,907,ENSG00000282168,ARHGAP11A,protein_coding,9680.0,9824.0,15,+,2.0,4032.0,22434.0,12.0,32907691.0,32930125.0
916,916,ENSG00000276804,NLRP7,protein_coding,83489.0,199713.0,19,-,3.0,3326.0,23996.0,11.0,55434877.0,55458873.0
917,917,ENSG00000277179,NLRP7,protein_coding,83489.0,199713.0,19,-,3.0,3326.0,23996.0,11.0,55434877.0,55458873.0
918,918,ENSG00000277776,NLRP7,protein_coding,83489.0,199713.0,19,-,3.0,3326.0,23996.0,11.0,55434877.0,55458873.0
919,919,ENSG00000167634,NLRP7,protein_coding,83489.0,199713.0,19,-,3.0,3326.0,23996.0,11.0,55434877.0,55458873.0
920,920,ENSG00000274174,NLRP7,protein_coding,83489.0,199713.0,19,-,3.0,3326.0,23996.0,11.0,55434877.0,55458873.0
921,921,ENSG00000278173,NLRP7,protein_coding,83489.0,199713.0,19,-,3.0,3326.0,23996.0,11.0,55434877.0,55458873.0
922,922,ENSG00000274571,NLRP7,protein_coding,83489.0,199713.0,19,-,3.0,3326.0,23996.0,11.0,55434877.0,55458873.0
923,923,ENSG00000275483,NLRP7,protein_coding,83489.0,199713.0,19,-,3.0,3326.0,23996.0,11.0,55434877.0,55458873.0
924,924,ENSG00000277071,NLRP7,protein_coding,83489.0,199713.0,19,-,3.0,3326.0,23996.0,11.0,55434877.0,55458873.0
925,925,ENSG00000277786,NLRP7,protein_coding,83489.0,199713.0,19,-,3.0,3326.0,23996.0,11.0,55434877.0,55458873.0
976,976,ENSG00000199390,SNORD114-7,snoRNA,1013319.0,767583.0,14,+,1.0,75.0,75.0,1.0,101429391.0,101429466.0
987,987,ENSG00000201326,SNORD115-22,snoRNA,1013537.0,100033799.0,15,+,1.0,81.0,81.0,1.0,25455065.0,25455146.0
1036,1036,ENSG00000266206,MIR3926-1,miRNA,157120825.0,100500870.0,8,-,1.0,72.0,72.0,1.0,12584741.0,12584813.0
1037,1037,ENSG00000285270,MIR3926-1,miRNA,157120825.0,100500870.0,8,-,1.0,72.0,72.0,1.0,12584741.0,12584813.0
1038,1038,ENSG00000281024,SURF2,protein_coding,6795.0,6835.0,9,+,1.0,838.0,4619.0,6.0,136223421.0,136228040.0
1039,1039,ENSG00000148291,SURF2,protein_coding,6795.0,6835.0,9,+,1.0,838.0,4619.0,6.0,136223421.0,136228040.0
1045,1045,ENSG00000278695,GSTT2B,protein_coding,167613.0,653689.0,22,-,1.0,1089.0,3767.0,5.0,24299601.0,24303368.0
1046,1046,ENSG00000133433,GSTT2B,protein_coding,167613.0,653689.0,22,-,1.0,1089.0,3767.0,5.0,24299601.0,24303368.0
1122,1122,ENSG00000199032,MIR425,miRNA,1012453.0,494337.0,3,-,1.0,86.0,86.0,1.0,49057581.0,49057667.0
1248,1248,ENSG00000265102,MIR3942,miRNA,157120893.0,100500904.0,15,-,1.0,108.0,108.0,1.0,35664457.0,35664565.0
1254,1254,ENSG00000278232,CRHR1,protein_coding,1385.0,1394.0,17,+,4.0,2544.0,51548.0,12.0,43861646.0,43913194.0
1255,1255,ENSG00000276191,CRHR1,protein_coding,1385.0,1394.0,17,+,4.0,2544.0,51548.0,12.0,43861646.0,43913194.0
1256,1256,ENSG00000120088,CRHR1,protein_coding,1385.0,1394.0,17,+,4.0,2544.0,51548.0,12.0,43861646.0,43913194.0
1268,1268,ENSG00000274672,TSEN34,protein_coding,54882.0,79042.0,19,+,2.0,2255.0,3782.0,4.0,54694612.0,54698394.0
1269,1269,ENSG00000278712,TSEN34,protein_coding,54882.0,79042.0,19,+,2.0,2255.0,3782.0,4.0,54694612.0,54698394.0
1270,1270,ENSG00000170892,TSEN34,protein_coding,54882.0,79042.0,19,+,2.0,2255.0,3782.0,4.0,54694612.0,54698394.0
1271,1271,ENSG00000275165,TSEN34,protein_coding,54882.0,79042.0,19,+,2.0,2255.0,3782.0,4.0,54694612.0,54698394.0
1272,1272,ENSG00000274796,TSEN34,protein_coding,54882.0,79042.0,19,+,2.0,2255.0,3782.0,4.0,54694612.0,54698394.0
1273,1273,ENSG00000274078,TSEN34,protein_coding,54882.0,79042.0,19,+,2.0,2255.0,3782.0,4.0,54694612.0,54698394.0
1274,1274,ENSG00000274129,TSEN34,protein_coding,54882.0,79042.0,19,+,2.0,2255.0,3782.0,4.0,54694612.0,54698394.0
1275,1275,ENSG00000278605,TSEN34,protein_coding,54882.0,79042.0,19,+,2.0,2255.0,3782.0,4.0,54694612.0,54698394.0
1276,1276,ENSG00000278622,TSEN34,protein_coding,54882.0,79042.0,19,+,2.0,2255.0,3782.0,4.0,54694612.0,54698394.0
1277,1277,ENSG00000273896,TSEN34,protein_coding,54882.0,79042.0,19,+,2.0,2255.0,3782.0,4.0,54694612.0,54698394.0
1504,1504,ENSG00000199436,SNORD9,snoRNA,167931.0,692053.0,14,-,1.0,102.0,102.0,1.0,21860310.0,21860412.0
